Número de documentos (noticias) del corpus: 234
Número de palabras del corpus: 2970
Palabra: <unk> Frec: 0 LogProb: -9.03503
Palabra: ab Frec: 2 LogProb: -7.93642
Palabra: abp Frec: 1 LogProb: -8.34189
Palabra: acanb Frec: 1 LogProb: -8.34189
Palabra: acando Frec: 1 LogProb: -8.34189
Palabra: accommodation Frec: 1 LogProb: -8.34189
Palabra: according Frec: 5 LogProb: -7.24327
Palabra: account Frec: 1 LogProb: -8.34189
Palabra: accounting Frec: 2 LogProb: -7.93642
Palabra: acquisition Frec: 1 LogProb: -8.34189
Palabra: activities Frec: 2 LogProb: -7.93642
Palabra: activity Frec: 1 LogProb: -8.34189
Palabra: actual Frec: 1 LogProb: -8.34189
Palabra: added Frec: 3 LogProb: -7.64874
Palabra: additional Frec: 1 LogProb: -8.34189
Palabra: adjustment Frec: 1 LogProb: -8.34189
Palabra: adp Frec: 2 LogProb: -7.93642
Palabra: adpnews Frec: 4 LogProb: -7.4256
Palabra: advertising Frec: 1 LogProb: -8.34189
Palabra: aero Frec: 1 LogProb: -8.34189
Palabra: afev Frec: 1 LogProb: -8.34189
Palabra: affect Frec: 1 LogProb: -8.34189
Palabra: affected Frec: 1 LogProb: -8.34189
Palabra: affecto Frec: 1 LogProb: -8.34189
Palabra: affectogenimap Frec: 1 LogProb: -8.34189
Palabra: afternoon Frec: 1 LogProb: -8.34189
Palabra: ag Frec: 2 LogProb: -7.93642
Palabra: against Frec: 3 LogProb: -7.64874
Palabra: ago Frec: 4 LogProb: -7.4256
Palabra: agreed Frec: 1 LogProb: -8.34189
Palabra: air Frec: 2 LogProb: -7.93642
Palabra: airline Frec: 1 LogProb: -8.34189
Palabra: airspace Frec: 1 LogProb: -8.34189
Palabra: aldata Frec: 1 LogProb: -8.34189
Palabra: alleged Frec: 1 LogProb: -8.34189
Palabra: alma Frec: 1 LogProb: -8.34189
Palabra: along Frec: 1 LogProb: -8.34189
Palabra: already Frec: 1 LogProb: -8.34189
Palabra: altogether Frec: 1 LogProb: -8.34189
Palabra: america Frec: 1 LogProb: -8.34189
Palabra: amid Frec: 1 LogProb: -8.34189
