Número de documentos (noticias) del corpus: 627
Número de palabras del corpus: 8319
Palabra: <unk> Frec: 0 LogProb: -9.579
Palabra: ab Frec: 4 LogProb: -7.96957
Palabra: abb Frec: 2 LogProb: -8.48039
Palabra: ability Frec: 1 LogProb: -8.88586
Palabra: abn Frec: 1 LogProb: -8.88586
Palabra: above Frec: 4 LogProb: -7.96957
Palabra: abp Frec: 4 LogProb: -7.96957
Palabra: ac Frec: 1 LogProb: -8.88586
Palabra: access Frec: 2 LogProb: -8.48039
Palabra: accomplishing Frec: 1 LogProb: -8.88586
Palabra: according Frec: 16 LogProb: -6.74579
Palabra: accounted Frec: 2 LogProb: -8.48039
Palabra: accounting Frec: 3 LogProb: -8.19271
Palabra: acgv Frec: 2 LogProb: -8.48039
Palabra: achieve Frec: 2 LogProb: -8.48039
Palabra: achieved Frec: 2 LogProb: -8.48039
Palabra: acid Frec: 1 LogProb: -8.88586
Palabra: acknowledged Frec: 1 LogProb: -8.88586
Palabra: acnielsen Frec: 1 LogProb: -8.88586
Palabra: acquire Frec: 1 LogProb: -8.88586
Palabra: acquiring Frec: 1 LogProb: -8.88586
Palabra: acquisition Frec: 13 LogProb: -6.93995
Palabra: acquisitions Frec: 5 LogProb: -7.78724
Palabra: acs Frec: 1 LogProb: -8.88586
Palabra: acting Frec: 1 LogProb: -8.88586
Palabra: action Frec: 1 LogProb: -8.88586
Palabra: actions Frec: 1 LogProb: -8.88586
Palabra: activate Frec: 1 LogProb: -8.88586
Palabra: actively Frec: 1 LogProb: -8.88586
Palabra: activities Frec: 2 LogProb: -8.48039
Palabra: adac Frec: 3 LogProb: -8.19271
Palabra: add Frec: 1 LogProb: -8.88586
Palabra: addition Frec: 4 LogProb: -7.96957
Palabra: additional Frec: 1 LogProb: -8.88586
Palabra: adds Frec: 1 LogProb: -8.88586
Palabra: adjacent Frec: 1 LogProb: -8.88586
Palabra: adjust Frec: 1 LogProb: -8.88586
Palabra: administration Frec: 2 LogProb: -8.48039
Palabra: adopting Frec: 1 LogProb: -8.88586
Palabra: adp Frec: 7 LogProb: -7.49956
Palabra: advance Frec: 1 LogProb: -8.88586
Palabra: advanced Frec: 2 LogProb: -8.48039
Palabra: advantage Frec: 1 LogProb: -8.88586
Palabra: advertising Frec: 2 LogProb: -8.48039
Palabra: advise Frec: 1 LogProb: -8.88586
Palabra: afev Frec: 1 LogProb: -8.88586
Palabra: affarsvarlden Frec: 2 LogProb: -8.48039
Palabra: affected Frec: 1 LogProb: -8.88586
Palabra: affecto Frec: 3 LogProb: -8.19271
Palabra: affordable Frec: 1 LogProb: -8.88586
Palabra: africa Frec: 3 LogProb: -8.19271
Palabra: africaand Frec: 1 LogProb: -8.88586
Palabra: african Frec: 2 LogProb: -8.48039
Palabra: aftermarket Frec: 1 LogProb: -8.88586
Palabra: afternoon Frec: 1 LogProb: -8.88586
Palabra: afx Frec: 5 LogProb: -7.78724
Palabra: ag Frec: 2 LogProb: -8.48039
Palabra: again Frec: 3 LogProb: -8.19271
Palabra: against Frec: 2 LogProb: -8.48039
Palabra: ago Frec: 13 LogProb: -6.93995
Palabra: agreed Frec: 3 LogProb: -8.19271
Palabra: agreement Frec: 19 LogProb: -6.58327
Palabra: agreements Frec: 4 LogProb: -7.96957
Palabra: agricultural Frec: 2 LogProb: -8.48039
Palabra: agro Frec: 1 LogProb: -8.88586
Palabra: ahead Frec: 3 LogProb: -8.19271
Palabra: aho Frec: 1 LogProb: -8.88586
Palabra: aim Frec: 4 LogProb: -7.96957
Palabra: aimed Frec: 2 LogProb: -8.48039
Palabra: aims Frec: 6 LogProb: -7.63309
Palabra: air Frec: 1 LogProb: -8.88586
Palabra: airbus Frec: 2 LogProb: -8.48039
Palabra: aircraft Frec: 2 LogProb: -8.48039
Palabra: airline Frec: 3 LogProb: -8.19271
Palabra: aker Frec: 4 LogProb: -7.96957
Palabra: aktia Frec: 6 LogProb: -7.63309
Palabra: alandsbanken Frec: 3 LogProb: -8.19271
Palabra: alexander Frec: 1 LogProb: -8.88586
Palabra: allonen Frec: 1 LogProb: -8.88586
Palabra: allows Frec: 1 LogProb: -8.88586
Palabra: alma Frec: 1 LogProb: -8.88586
Palabra: already Frec: 2 LogProb: -8.48039
Palabra: although Frec: 1 LogProb: -8.88586
Palabra: altia Frec: 1 LogProb: -8.88586
Palabra: aluminij Frec: 1 LogProb: -8.88586
Palabra: aluminium Frec: 2 LogProb: -8.48039
Palabra: alus Frec: 2 LogProb: -8.48039
Palabra: amber Frec: 1 LogProb: -8.88586
Palabra: ambulance Frec: 1 LogProb: -8.88586
Palabra: ameas Frec: 1 LogProb: -8.88586
Palabra: amending Frec: 1 LogProb: -8.88586
Palabra: amer Frec: 2 LogProb: -8.48039
Palabra: america Frec: 8 LogProb: -7.38178
Palabra: american Frec: 1 LogProb: -8.88586
Palabra: amounted Frec: 7 LogProb: -7.49956
Palabra: amounting Frec: 1 LogProb: -8.88586
Palabra: amro Frec: 1 LogProb: -8.88586
Palabra: analyst Frec: 3 LogProb: -8.19271
Palabra: analysts Frec: 1 LogProb: -8.88586
Palabra: analyzed Frec: 1 LogProb: -8.88586
Palabra: anchors Frec: 1 LogProb: -8.88586
Palabra: andrew Frec: 1 LogProb: -8.88586
Palabra: andrey Frec: 1 LogProb: -8.88586
Palabra: animal Frec: 1 LogProb: -8.88586
Palabra: announce Frec: 1 LogProb: -8.88586
Palabra: announced Frec: 13 LogProb: -6.93995
Palabra: annual Frec: 9 LogProb: -7.27642
Palabra: annually Frec: 1 LogProb: -8.88586
Palabra: annum Frec: 1 LogProb: -8.88586
Palabra: anode Frec: 1 LogProb: -8.88586
Palabra: another Frec: 3 LogProb: -8.19271
Palabra: answer Frec: 2 LogProb: -8.48039
Palabra: anticipates Frec: 3 LogProb: -8.19271
Palabra: apart Frec: 1 LogProb: -8.88586
Palabra: apartment Frec: 1 LogProb: -8.88586
Palabra: apartments Frec: 1 LogProb: -8.88586
Palabra: applauded Frec: 1 LogProb: -8.88586
Palabra: application Frec: 5 LogProb: -7.78724
Palabra: apply Frec: 1 LogProb: -8.88586
Palabra: applying Frec: 1 LogProb: -8.88586
Palabra: appointment Frec: 1 LogProb: -8.88586
Palabra: approach Frec: 3 LogProb: -8.19271
Palabra: approval Frec: 3 LogProb: -8.19271
Palabra: approved Frec: 1 LogProb: -8.88586
Palabra: approximately Frec: 2 LogProb: -8.48039
Palabra: april Frec: 2 LogProb: -8.48039
Palabra: apriljune Frec: 3 LogProb: -8.19271
Palabra: apsaugos Frec: 1 LogProb: -8.88586
Palabra: arabia Frec: 1 LogProb: -8.88586
