Número de documentos (noticias) del corpus: 1264
Número de palabras del corpus: 14519
Palabra: <unk> Frec: 0 LogProb: -9.90053
Palabra: aalto Frec: 1 LogProb: -9.20739
Palabra: ab Frec: 5 LogProb: -8.10877
Palabra: abb Frec: 1 LogProb: -9.20739
Palabra: abbott Frec: 1 LogProb: -9.20739
Palabra: abc Frec: 1 LogProb: -9.20739
Palabra: abidjan Frec: 1 LogProb: -9.20739
Palabra: abloy Frec: 2 LogProb: -8.80192
Palabra: abn Frec: 2 LogProb: -8.80192
Palabra: above Frec: 3 LogProb: -8.51424
Palabra: abp Frec: 1 LogProb: -9.20739
Palabra: abramov Frec: 1 LogProb: -9.20739
Palabra: abramovich Frec: 1 LogProb: -9.20739
Palabra: abroad Frec: 2 LogProb: -8.80192
Palabra: absolut Frec: 1 LogProb: -9.20739
Palabra: ac Frec: 2 LogProb: -8.80192
Palabra: aca Frec: 1 LogProb: -9.20739
Palabra: access Frec: 5 LogProb: -8.10877
Palabra: accessories Frec: 5 LogProb: -8.10877
Palabra: accommodate Frec: 1 LogProb: -9.20739
Palabra: accordance Frec: 8 LogProb: -7.70331
Palabra: according Frec: 28 LogProb: -6.53324
Palabra: account Frec: 1 LogProb: -9.20739
Palabra: accounted Frec: 6 LogProb: -7.95462
Palabra: accounting Frec: 4 LogProb: -8.2911
Palabra: accounts Frec: 5 LogProb: -8.10877
Palabra: accumulated Frec: 1 LogProb: -9.20739
Palabra: acknowledged Frec: 1 LogProb: -9.20739
Palabra: acquire Frec: 4 LogProb: -8.2911
Palabra: acquired Frec: 10 LogProb: -7.50264
Palabra: acquirer Frec: 1 LogProb: -9.20739
Palabra: acquires Frec: 2 LogProb: -8.80192
Palabra: acquiring Frec: 4 LogProb: -8.2911
Palabra: acquisition Frec: 13 LogProb: -7.26148
Palabra: acquisitions Frec: 2 LogProb: -8.80192
Palabra: act Frec: 3 LogProb: -8.51424
Palabra: acted Frec: 2 LogProb: -8.80192
Palabra: action Frec: 2 LogProb: -8.80192
Palabra: active Frec: 3 LogProb: -8.51424
Palabra: activities Frec: 8 LogProb: -7.70331
Palabra: activity Frec: 4 LogProb: -8.2911
Palabra: actual Frec: 3 LogProb: -8.51424
Palabra: adams Frec: 2 LogProb: -8.80192
Palabra: added Frec: 7 LogProb: -7.82109
Palabra: adding Frec: 1 LogProb: -9.20739
Palabra: addition Frec: 8 LogProb: -7.70331
Palabra: additional Frec: 2 LogProb: -8.80192
Palabra: addon Frec: 1 LogProb: -9.20739
Palabra: address Frec: 2 LogProb: -8.80192
Palabra: adjust Frec: 1 LogProb: -9.20739
Palabra: adjustable Frec: 1 LogProb: -9.20739
Palabra: adjustments Frec: 1 LogProb: -9.20739
Palabra: administered Frec: 1 LogProb: -9.20739
Palabra: administration Frec: 5 LogProb: -8.10877
Palabra: administrators Frec: 1 LogProb: -9.20739
Palabra: admits Frec: 1 LogProb: -9.20739
Palabra: adopters Frec: 1 LogProb: -9.20739
Palabra: adoption Frec: 1 LogProb: -9.20739
Palabra: adp Frec: 1 LogProb: -9.20739
Palabra: adpnews Frec: 1 LogProb: -9.20739
Palabra: advanced Frec: 2 LogProb: -8.80192
Palabra: advisory Frec: 2 LogProb: -8.80192
Palabra: aeronautic Frec: 1 LogProb: -9.20739
Palabra: affairs Frec: 1 LogProb: -9.20739
Palabra: affect Frec: 2 LogProb: -8.80192
Palabra: affecto Frec: 3 LogProb: -8.51424
Palabra: affectogenimap Frec: 1 LogProb: -9.20739
Palabra: aforementioned Frec: 1 LogProb: -9.20739
Palabra: africa Frec: 2 LogProb: -8.80192
Palabra: aftermarket Frec: 1 LogProb: -9.20739
Palabra: aftertreatment Frec: 1 LogProb: -9.20739
Palabra: afx Frec: 4 LogProb: -8.2911
Palabra: ag Frec: 1 LogProb: -9.20739
Palabra: again Frec: 1 LogProb: -9.20739
Palabra: against Frec: 1 LogProb: -9.20739
Palabra: agency Frec: 2 LogProb: -8.80192
Palabra: agenda Frec: 2 LogProb: -8.80192
Palabra: agent Frec: 1 LogProb: -9.20739
Palabra: agents Frec: 1 LogProb: -9.20739
Palabra: ago Frec: 1 LogProb: -9.20739
Palabra: agreed Frec: 12 LogProb: -7.33558
Palabra: agreement Frec: 17 LogProb: -7.01016
Palabra: agreements Frec: 5 LogProb: -8.10877
Palabra: agricole Frec: 1 LogProb: -9.20739
Palabra: agricultural Frec: 1 LogProb: -9.20739
Palabra: agriculture Frec: 1 LogProb: -9.20739
Palabra: ahead Frec: 1 LogProb: -9.20739
Palabra: ahlstrom Frec: 10 LogProb: -7.50264
Palabra: ahms Frec: 1 LogProb: -9.20739
Palabra: ahold Frec: 1 LogProb: -9.20739
Palabra: ahvenainen Frec: 1 LogProb: -9.20739
Palabra: ailing Frec: 1 LogProb: -9.20739
Palabra: ailments Frec: 1 LogProb: -9.20739
Palabra: aim Frec: 3 LogProb: -8.51424
Palabra: aimed Frec: 1 LogProb: -9.20739
Palabra: aims Frec: 3 LogProb: -8.51424
Palabra: air Frec: 4 LogProb: -8.2911
Palabra: aircraft Frec: 2 LogProb: -8.80192
Palabra: airline Frec: 3 LogProb: -8.51424
Palabra: airlines Frec: 1 LogProb: -9.20739
Palabra: airport Frec: 1 LogProb: -9.20739
Palabra: airports Frec: 2 LogProb: -8.80192
Palabra: airtel Frec: 1 LogProb: -9.20739
Palabra: akseli Frec: 1 LogProb: -9.20739
Palabra: aldata Frec: 11 LogProb: -7.41563
Palabra: aleksandri Frec: 1 LogProb: -9.20739
Palabra: aleksanterinkatu Frec: 1 LogProb: -9.20739
Palabra: alexander Frec: 2 LogProb: -8.80192
Palabra: alexandria Frec: 4 LogProb: -8.2911
Palabra: alfa Frec: 2 LogProb: -8.80192
Palabra: aligned Frec: 1 LogProb: -9.20739
Palabra: alise Frec: 1 LogProb: -9.20739
Palabra: alliance Frec: 1 LogProb: -9.20739
Palabra: allocation Frec: 2 LogProb: -8.80192
Palabra: allotted Frec: 1 LogProb: -9.20739
Palabra: allow Frec: 1 LogProb: -9.20739
Palabra: allowance Frec: 1 LogProb: -9.20739
Palabra: allowed Frec: 1 LogProb: -9.20739
Palabra: allows Frec: 2 LogProb: -8.80192
Palabra: alloys Frec: 1 LogProb: -9.20739
Palabra: allure Frec: 1 LogProb: -9.20739
Palabra: alma Frec: 13 LogProb: -7.26148
Palabra: alnv Frec: 2 LogProb: -8.80192
Palabra: along Frec: 3 LogProb: -8.51424
Palabra: alpina Frec: 2 LogProb: -8.80192
Palabra: alpine Frec: 1 LogProb: -9.20739
Palabra: already Frec: 6 LogProb: -7.95462
Palabra: altadis Frec: 1 LogProb: -9.20739
Palabra: alteams Frec: 1 LogProb: -9.20739
Palabra: alternative Frec: 1 LogProb: -9.20739
Palabra: alternatives Frec: 1 LogProb: -9.20739
Palabra: although Frec: 2 LogProb: -8.80192
Palabra: altia Frec: 1 LogProb: -9.20739
Palabra: altogether Frec: 2 LogProb: -8.80192
Palabra: altona Frec: 2 LogProb: -8.80192
Palabra: alumina Frec: 1 LogProb: -9.20739
Palabra: aluminium Frec: 2 LogProb: -8.80192
Palabra: aluminum Frec: 2 LogProb: -8.80192
Palabra: always Frec: 1 LogProb: -9.20739
Palabra: amanda Frec: 1 LogProb: -9.20739
Palabra: ambassador Frec: 1 LogProb: -9.20739
Palabra: amendments Frec: 1 LogProb: -9.20739
Palabra: amer Frec: 5 LogProb: -8.10877
Palabra: america Frec: 6 LogProb: -7.95462
Palabra: american Frec: 3 LogProb: -8.51424
Palabra: amex Frec: 2 LogProb: -8.80192
Palabra: amount Frec: 7 LogProb: -7.82109
Palabra: amounted Frec: 6 LogProb: -7.95462
Palabra: amounts Frec: 4 LogProb: -8.2911
Palabra: amplifier Frec: 2 LogProb: -8.80192
Palabra: amplifiers Frec: 1 LogProb: -9.20739
Palabra: amro Frec: 1 LogProb: -9.20739
Palabra: ams Frec: 1 LogProb: -9.20739
Palabra: analyses Frec: 2 LogProb: -8.80192
Palabra: analysis Frec: 11 LogProb: -7.41563
Palabra: analyst Frec: 5 LogProb: -8.10877
Palabra: analysts Frec: 4 LogProb: -8.2911
Palabra: anchored Frec: 1 LogProb: -9.20739
Palabra: angeles Frec: 2 LogProb: -8.80192
Palabra: angelesbased Frec: 1 LogProb: -9.20739
Palabra: animal Frec: 1 LogProb: -9.20739
Palabra: announce Frec: 1 LogProb: -9.20739
Palabra: announced Frec: 15 LogProb: -7.12794
Palabra: announcement Frec: 9 LogProb: -7.59795
Palabra: annual Frec: 27 LogProb: -6.56833
Palabra: annually Frec: 3 LogProb: -8.51424
Palabra: annulled Frec: 1 LogProb: -9.20739
Palabra: anode Frec: 1 LogProb: -9.20739
Palabra: another Frec: 7 LogProb: -7.82109
Palabra: anrak Frec: 1 LogProb: -9.20739
Palabra: answer Frec: 1 LogProb: -9.20739
Palabra: antenna Frec: 2 LogProb: -8.80192
Palabra: antibody Frec: 3 LogProb: -8.51424
Palabra: anticipated Frec: 1 LogProb: -9.20739
Palabra: antonio Frec: 1 LogProb: -9.20739
Palabra: anttila Frec: 1 LogProb: -9.20739
Palabra: antwerp Frec: 1 LogProb: -9.20739
Palabra: apart Frec: 1 LogProb: -9.20739
Palabra: apartment Frec: 1 LogProb: -9.20739
Palabra: apartments Frec: 1 LogProb: -9.20739
Palabra: apetit Frec: 2 LogProb: -8.80192
Palabra: apiece Frec: 1 LogProb: -9.20739
Palabra: app Frec: 1 LogProb: -9.20739
Palabra: appeal Frec: 1 LogProb: -9.20739
Palabra: appear Frec: 2 LogProb: -8.80192
Palabra: appears Frec: 1 LogProb: -9.20739
Palabra: apple Frec: 1 LogProb: -9.20739
Palabra: applicable Frec: 1 LogProb: -9.20739
Palabra: application Frec: 10 LogProb: -7.50264
Palabra: applications Frec: 11 LogProb: -7.41563
Palabra: applied Frec: 1 LogProb: -9.20739
Palabra: apply Frec: 3 LogProb: -8.51424
Palabra: appoint Frec: 1 LogProb: -9.20739
Palabra: appointed Frec: 3 LogProb: -8.51424
Palabra: approaches Frec: 1 LogProb: -9.20739
Palabra: appropriate Frec: 2 LogProb: -8.80192
Palabra: approval Frec: 6 LogProb: -7.95462
Palabra: approvals Frec: 2 LogProb: -8.80192
Palabra: approve Frec: 2 LogProb: -8.80192
Palabra: approved Frec: 4 LogProb: -8.2911
Palabra: approx Frec: 1 LogProb: -9.20739
Palabra: approximately Frec: 31 LogProb: -6.4348
Palabra: april Frec: 22 LogProb: -6.76504
Palabra: apriljune Frec: 2 LogProb: -8.80192
Palabra: aqua Frec: 1 LogProb: -9.20739
Palabra: arabia Frec: 1 LogProb: -9.20739
Palabra: archer Frec: 1 LogProb: -9.20739
Palabra: archicad Frec: 1 LogProb: -9.20739
Palabra: architecture Frec: 1 LogProb: -9.20739
Palabra: archived Frec: 1 LogProb: -9.20739
Palabra: area Frec: 20 LogProb: -6.85601
Palabra: areas Frec: 11 LogProb: -7.41563
Palabra: arena Frec: 1 LogProb: -9.20739
Palabra: argentina Frec: 1 LogProb: -9.20739
Palabra: argentine Frec: 1 LogProb: -9.20739
Palabra: arm Frec: 2 LogProb: -8.80192
Palabra: around Frec: 12 LogProb: -7.33558
Palabra: arranged Frec: 3 LogProb: -8.51424
Palabra: arrangement Frec: 1 LogProb: -9.20739
