The three year turn-around program is expected to ensure Salomon 's future competitiveness  the company said .,positive
At the end of March 2009  the company 's loans amounted to EUR 10.113 mn .,neutral
Brazilian mobile player Telemig Celular yesterday announced that it has selected Finnish software developer Tecnomen Oyj to expand its prepaid billing system .,positive
`` UPM 's deliveries increased during the third quarter by 4 percent  and the efficiency of operations improved  '' Chief Executive Jussi Pesonen said .,positive
( ADP News ) - Feb 11  2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .,negative
Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010  the company added .,neutral
Teollisuuden Voima Oyj  the Finnish utility known as TVO  said it shortlisted Mitsubishi Heavy s EU-APWR model along with reactors from Areva  Toshiba Corp.  GE Hitachi Nuclear Energy and Korea Hydro & Nuclear Power Co. .,neutral
The value of the order is EUR 700000 .,neutral
Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m  as compared to the third quarter 2007 .,negative
Net loss in the same period in 2009 was euro18 .6 million .,neutral
According to the prosecutor  the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats .,neutral
EUR928 000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 000 in the first quarter of 2010 from EUR13 000 in the corresponding period a year earlier .,positive
The presentation material can be viewed on the company 's website in English after the conference .,neutral
1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya  Building 1 Telephone : 495 777-34-77 ext. 3932  3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .,neutral
Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz  in Germany .,neutral
The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2686.2 1259.7 million .,positive
The buildings  with about 40 condominiums each  will be built in 4 or 5 stages .,neutral
The Board of Directors proposes to the Shareholders ' Meeting on 18 March 2010 that the company would pay dividend for the financial year January 1 - December 31  2009  EUR 0.02 per share .,neutral
COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,neutral
The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,neutral
The contracts between Raute Corporation and Muling Kemian Wood Products Co.  Ltd.  which were announced on 3 November 2010  have taken effect .,neutral
CapMan said the deal 's effect on its cash flow for 2009 totals EUR3 .4 m  but the transaction would not affect its financial results for 2009 as it was executed at fair value .,neutral
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral
The Finnish supplier of BSS-OSS and VAS for telecom operators  Tecnotree  has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America  the company announced without specifying which operators had placed the orders .,positive
At 10.33 am  Huhtamaki was the market 's biggest faller  8.69 pct lower at 11.35 eur  while the OMX Helsinki 25 was 0.32 pct higher at 3332.41  and the OMX Helsinki was up 0.47 pct at 11687.32 .,negative
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,negative
The remaining amount will be funded through debt  the Danish bank said .,neutral
The company expects its net sales for the whole of 2007 to be EUR 950mn-1 000 mn .,neutral
The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008  compared to EUR 35.8 mn in the corresponding period in 2007 .,negative
The natural source of isoprene is the tree species Hevea brasiliensis  also known as the rubber tree .,neutral
Among other industrial stocks  Metso added 0.53 pct to 40.04 eur  Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .,neutral
The Finland-based company says it will move into an existing 260000-square-foot facility in September .,neutral
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,neutral
In Finland  the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .,negative
Also  Westpac is to issue a benchmark  18 month FRN deal in Euros .,neutral
`` Last year  Finnair recorded a 32.6-percent growth on the Asian sector  carrying more than 1.10 million passengers between the two continents . '',positive
The reductions will be implemented mainly in the course of the first half of 2009 .,neutral
The company had net sales of EUR 10.8 million in 2008  and today has approximately 120 employees in Finland  Estonia and Poland .,neutral
EUR 152.4 mn of this was net interest income .,neutral
Suominen Corporation estimates that the cost-cutting program that started in autumn 2005  higher sales prices  and expected growth in volume of Wet Wipes  will make the company 's operations more profitable .,positive
Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner  rebounding from yesterday s 3.5 percent slide .,positive
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,neutral
The contract consists of a new building with an area of 18000 sq m and renovation of the existing buildings .,neutral
HELSINKI Thomson Financial - Shares closed little changed  with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .,negative
The OMX Helsinki 25 index was up 0.92 pct at 2518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4711.19 .,positive
Many of the commercial vessels had got stuck in the narrow Bay of Bothnia  where the ice is thicker  and around the Aaland islands .,negative
At 12.01 pm  the OMX Helsinki 25 was down 0.66 pct to 3143.57 and the OMX Helsinki was 0.67 pct lower at 10530.74 on 253 mln eur turnover .,negative
Tieto 's service is also used to send  process and receive materials related to absentee voting .,neutral
Deliveries by Outotec will take place over 30 months .,neutral
Vaahto Pulp & Paper  of Finnish Vaahto Group  has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .,positive
The shares shall be repurchased through public trading  for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .,neutral
Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,positive
The webcast may be followed online on the company website at www.ruukki.com/investors .,neutral
